timestamp,Battery Soc-%,Battery (Dis)Charge-kWh
2024-01-01T01:00:00,0.6585389,100.0
2024-01-01T02:00:00,0.9733472,47.804058
2024-01-01T03:00:00,0.99764115,3.7306547
2024-01-01T04:00:00,0.99978524,0.32948187
2024-01-01T05:00:00,0.999976,0.029306453
2024-01-01T06:00:00,0.9999929,0.0026034256
2024-01-01T07:00:00,0.9999944,0.0002335319
2024-01-01T08:00:00,0.9999946,2.4914472e-05
2024-01-01T09:00:00,0.9999946,-1.1960239e-07
2024-01-01T10:00:00,0.9999946,-1.1960297e-07
2024-01-01T11:00:00,0.9999946,-1.1960357e-07
2024-01-01T12:00:00,0.9999946,-1.1960417e-07
2024-01-01T13:00:00,0.9999946,-1.1960476e-07
2024-01-01T14:00:00,0.9999946,-1.1960536e-07
2024-01-01T15:00:00,0.9999946,-1.1960599e-07
2024-01-01T16:00:00,0.9999946,-1.1960658e-07
2024-01-01T17:00:00,0.9999946,-1.1960718e-07
2024-01-01T18:00:00,0.9999946,-1.1960778e-07
2024-01-01T19:00:00,0.9999946,-1.1960836e-07
2024-01-01T20:00:00,0.9999946,-1.1960896e-07
2024-01-01T21:00:00,0.9999946,-1.1960955e-07
2024-01-01T22:00:00,0.9999946,-1.1961015e-07
2024-01-01T23:00:00,0.9999946,-1.1961075e-07
2024-01-02T00:00:00,0.9999946,-1.1961134e-07
2024-01-02T01:00:00,0.9999946,-1.1961194e-07
2024-01-02T02:00:00,0.9999946,-1.1961254e-07
2024-01-02T03:00:00,0.9999946,-1.1961313e-07
2024-01-02T04:00:00,0.9999946,-1.1961373e-07
2024-01-02T05:00:00,0.9999946,-1.1961433e-07
2024-01-02T06:00:00,0.9999946,-1.1961491e-07
2024-01-02T07:00:00,0.9999946,-1.196155e-07
2024-01-02T08:00:00,0.9999946,-1.196161e-07
2024-01-02T09:00:00,0.9999946,-1.196167e-07
2024-01-02T10:00:00,0.9999946,-1.1961733e-07
2024-01-02T11:00:00,0.9999946,-1.1961792e-07
2024-01-02T12:00:00,0.9999946,-1.1961852e-07
2024-01-02T13:00:00,0.9999946,-1.1961912e-07
2024-01-02T14:00:00,0.9999946,-1.1961971e-07
2024-01-02T15:00:00,0.9999946,-1.196203e-07
2024-01-02T16:00:00,0.9999946,-1.1962089e-07
2024-01-02T17:00:00,0.9999946,-1.1962149e-07
2024-01-02T18:00:00,0.9999946,-1.1962209e-07
2024-01-02T19:00:00,0.9999946,-1.1962268e-07
2024-01-02T20:00:00,0.9999946,-1.1962328e-07
2024-01-02T21:00:00,0.9999946,-1.1962388e-07
2024-01-02T22:00:00,0.9999946,-1.1962447e-07
2024-01-02T23:00:00,0.9999946,-1.1962507e-07
