timestamp,Battery Soc-%,Battery (Dis)Charge-kWh
2024-01-01T01:00:00,0.34573293,15.0
2024-01-01T02:00:00,0.6721214,14.027626
2024-01-01T03:00:00,0.97983307,13.109658
2024-01-01T04:00:00,0.9982215,0.80646664
2024-01-01T05:00:00,0.9998369,0.07092462
2024-01-01T06:00:00,0.99998057,0.0063080587
2024-01-01T07:00:00,0.9999934,0.00056213926
2024-01-01T08:00:00,0.9999945,4.9536502e-05
2024-01-01T09:00:00,0.99999464,4.2367237e-06
2024-01-01T10:00:00,0.99999464,-5.31669e-07
2024-01-01T11:00:00,0.99999464,-5.316717e-07
2024-01-01T12:00:00,0.99999464,-5.3167435e-07
2024-01-01T13:00:00,0.99999464,-5.3167696e-07
2024-01-01T14:00:00,0.99999464,-5.3167963e-07
2024-01-01T15:00:00,0.99999464,-5.316823e-07
2024-01-01T16:00:00,0.99999464,-5.31685e-07
2024-01-01T17:00:00,0.99999464,-5.316876e-07
2024-01-01T18:00:00,0.99999464,-5.3169026e-07
2024-01-01T19:00:00,0.99999464,-5.3169293e-07
2024-01-01T20:00:00,0.99999464,-5.316956e-07
2024-01-01T21:00:00,0.99999464,-5.316982e-07
2024-01-01T22:00:00,0.99999464,-5.317009e-07
2024-01-01T23:00:00,0.99999464,-5.3170356e-07
2024-01-02T00:00:00,0.99999464,-5.3170623e-07
2024-01-02T01:00:00,0.99999464,-5.3170885e-07
2024-01-02T02:00:00,0.99999464,-5.317115e-07
2024-01-02T03:00:00,0.99999464,-5.317142e-07
2024-01-02T04:00:00,0.99999464,-5.3171686e-07
2024-01-02T05:00:00,0.99999464,-5.317195e-07
2024-01-02T06:00:00,0.99999464,-5.3172215e-07
2024-01-02T07:00:00,0.99999464,-5.317248e-07
2024-01-02T08:00:00,0.99999464,-5.317275e-07
2024-01-02T09:00:00,0.99999464,-5.317301e-07
2024-01-02T10:00:00,0.99999464,-5.317328e-07
2024-01-02T11:00:00,0.99999464,-5.3173545e-07
2024-01-02T12:00:00,0.99999464,-5.317381e-07
2024-01-02T13:00:00,0.99999464,-5.3174074e-07
2024-01-02T14:00:00,0.99999464,-5.317434e-07
2024-01-02T15:00:00,0.99999464,-5.317461e-07
2024-01-02T16:00:00,0.99999464,-5.3174875e-07
2024-01-02T17:00:00,0.99999464,-5.3175137e-07
2024-01-02T18:00:00,0.99999464,-5.3175404e-07
2024-01-02T19:00:00,0.99999464,-5.317567e-07
2024-01-02T20:00:00,0.99999464,-5.317594e-07
2024-01-02T21:00:00,0.99999464,-5.31762e-07
2024-01-02T22:00:00,0.99999464,-5.3176467e-07
2024-01-02T23:00:00,0.99999464,-5.3176734e-07
