timestamp,Battery Soc-%,Battery (Dis)Charge-kWh
2024-01-01T01:00:00,0.36878178,30.0
2024-01-01T02:00:00,0.73028266,29.308535
2024-01-01T03:00:00,0.9806096,20.228504
2024-01-01T04:00:00,0.9982703,1.4538826
2024-01-01T05:00:00,0.9998412,0.12932456
2024-01-01T06:00:00,0.9999809,0.011503406
2024-01-01T07:00:00,0.9999934,0.001024852
2024-01-01T08:00:00,0.99999446,9.054406e-05
2024-01-01T09:00:00,0.9999946,1.0077339e-05
2024-01-01T10:00:00,0.9999946,1.1365912e-06
2024-01-01T11:00:00,0.9999946,1.1365855e-06
2024-01-01T12:00:00,0.9999946,1.1365797e-06
2024-01-01T13:00:00,0.9999946,1.1365742e-06
2024-01-01T14:00:00,0.9999946,1.1365684e-06
2024-01-01T15:00:00,0.9999946,1.1365628e-06
2024-01-01T16:00:00,0.9999946,1.136557e-06
2024-01-01T17:00:00,0.9999946,1.1365513e-06
2024-01-01T18:00:00,0.9999946,1.1365457e-06
2024-01-01T19:00:00,0.9999946,1.1365399e-06
2024-01-01T20:00:00,0.9999946,1.1365344e-06
2024-01-01T21:00:00,0.9999946,1.1365286e-06
2024-01-01T22:00:00,0.9999946,1.136523e-06
2024-01-01T23:00:00,0.9999946,1.1365173e-06
2024-01-02T00:00:00,0.9999946,1.1365115e-06
2024-01-02T01:00:00,0.9999946,1.136506e-06
2024-01-02T02:00:00,0.9999946,1.1365001e-06
2024-01-02T03:00:00,0.9999946,1.1364946e-06
2024-01-02T04:00:00,0.9999946,1.1364888e-06
2024-01-02T05:00:00,0.9999946,1.1364831e-06
2024-01-02T06:00:00,0.9999946,1.1364775e-06
2024-01-02T07:00:00,0.9999946,1.1364717e-06
2024-01-02T08:00:00,0.9999946,1.1364662e-06
2024-01-02T09:00:00,0.9999946,1.1364604e-06
2024-01-02T10:00:00,0.9999946,1.1364548e-06
2024-01-02T11:00:00,0.9999946,1.1364491e-06
2024-01-02T12:00:00,0.9999946,1.1364433e-06
2024-01-02T13:00:00,0.9999946,1.1364377e-06
2024-01-02T14:00:00,0.9999946,1.1364319e-06
2024-01-02T15:00:00,0.9999946,1.1364264e-06
2024-01-02T16:00:00,0.9999946,1.1364206e-06
2024-01-02T17:00:00,0.9999946,1.1364149e-06
2024-01-02T18:00:00,0.9999946,1.1364093e-06
2024-01-02T19:00:00,0.9999946,1.1364035e-06
2024-01-02T20:00:00,0.9999946,1.1363979e-06
2024-01-02T21:00:00,0.9999946,1.1363921e-06
2024-01-02T22:00:00,0.9999946,1.1363866e-06
2024-01-02T23:00:00,0.9999946,1.1363809e-06
